,ResponseID,StartDate,EndDate,timeP1_1,timeP1_2,timeP1_3,timeP1_4,LeftP1,RightP2,timeP2_1,timeP2_2,timeP2_3,timeP2_4,LeftP2,RightP2.1,time2.1Sh.2.,Age,Sex,Lang,Lang_TEXT,DO.BR.FL_65,DO.BR.FL_71,DO.BR.FL_90,DO.BR.FL_72,DO.BR.FL_91,DO.BR.FL_73,DO.BR.FL_94,DO.BR.FL_74,DO.BR.FL_97,trialCode,time_1,species,trialKind,stimOrder,time_2,time_3,time_4,leftResponse,rightResponse,ComparisonType,SharedType,SharedTypeNum,trial,ResponseOne,ResponseTwo,wordLenRespOne,wordLenRespTwo,wordsRespOne,wordsRespTwo,taggedWordsRespOne,taggedWordsRespTwo,contentWordsRespOne,contentWordsRespTwo,contentWordsRespOneNoBe,contentWordsRespTwoNoBe,contentWordLenRespOne,contentWordLenRespTwo,contentWordLenRespOneNoBe,contentWordLenRespTwoNoBe,uniqueWordPercOne,uniqueWordPercTwo,uniqueContentWordPercOne,uniqueContentWordPercTwo,uniqueContentWordNoBePercOne,uniqueContentWordNoBePercTwo
0,R_2thTIpF3wYArBgJ,1/15/16 15:17,1/15/16 15:23,2.076,22.405,28.447,2,circle,triangle,1.593,1.593,8.028,1,long line,short line,,37,2,1,,FL_72|FL_90|FL_71|FL_74|FL_73|FL_94|FL_91|FL_97,FL_L4,FL_L78,FL_L62,FL_L88,FL_L69,FL_L93,FL_L70,FL_L96,time1.1Su_1.1.,2.7,1,1Su,1,2.7,16.391,1,smother lines,jagged lines,surface,shape,1,1_1Su,smother lines,jagged lines,2,2,"[u'smother', u'lines']","[u'jagged', u'lines']","[(u'smother', 'PRP$'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",1,2,1,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
1,R_1jVSUb5xOFV66uP,1/15/16 15:26,1/15/16 15:29,0.841,0.841,11.903,1,It's a circle.,It's a triangle.,0.831,11.881,16.38,2,Longer line.,Shorter line.,1,28,2,1,,FL_94|FL_72|FL_73|FL_71|FL_74|FL_90|FL_97|FL_91,FL_L4,FL_L78,FL_L68,FL_L88,FL_L63,FL_L93,FL_L70,FL_L95,time1.1Su_1.1.,0.551,1,1Su,1,0.551,7.741,1,Smooth lines.,Jagged lines.,surface,shape,1,1_1Su,Smooth lines.,Jagged lines.,2,2,"[u'Smooth', u'lines.']","[u'Jagged', u'lines.']","[(u'Smooth', 'NNP'), (u'lines', 'NNS'), (u'.', '.')]","[(u'Jagged', 'JJ'), (u'lines', 'NNS'), (u'.', '.')]","[(u'Smooth', 'NNP'), (u'lines', 'NNS')]","[(u'Jagged', 'JJ'), (u'lines', 'NNS')]","[(u'Smooth', 'NNP'), (u'lines', 'NNS')]","[(u'Jagged', 'JJ'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
2,R_1jVxibCBgYDGMhZ,1/15/16 15:25,1/15/16 15:29,1.396,1.396,11.197,1,circle,triangle,1.435,1.723,5.649,2,long line,short line,1,36,1,1,,FL_71|FL_74|FL_90|FL_94|FL_72|FL_73|FL_91|FL_97,FL_L4,FL_L81,FL_L62,FL_L88,FL_L63,FL_L93,FL_L64,FL_L96,time1.1Su_1.1.,1.116,1,1Su,1,1.116,8.947,1,smooth lines,jagged lines,surface,shape,1,1_1Su,smooth lines,jagged lines,2,2,"[u'smooth', u'lines']","[u'jagged', u'lines']","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
3,R_1rDhoNLqc2XfuKX,1/15/16 15:35,1/15/16 15:40,4.436,4.436,22.349,1,is round and does not have corner,has straight lines and angles,2.611,2.611,12.42,1,the line is longer,the line is shorter,,26,2,1,,FL_97|FL_71|FL_90|FL_73|FL_91|FL_74|FL_94|FL_72,FL_L4,FL_L78,FL_L68,FL_L89,FL_L69,FL_L93,FL_L64,FL_L95,time1.1Su_1.1.,4.855,1,1Su,1,18.694,49.159,2,the image has a more flowy feeling because of its roundness,the lines on this image are sharp and constantly changing,surface,shape,1,1_1Su,the image has a more flowy feeling because of its roundness,the lines on this image are sharp and constantly changing,11,10,"[u'the', u'image', u'has', u'a', u'more', u'flowy', u'feeling', u'because', u'of', u'its', u'roundness']","[u'the', u'lines', u'on', u'this', u'image', u'are', u'sharp', u'and', u'constantly', u'changing']","[(u'the', 'DT'), (u'image', 'NN'), (u'has', 'VBZ'), (u'a', 'DT'), (u'more', 'RBR'), (u'flowy', 'JJ'), (u'feeling', 'NN'), (u'because', 'IN'), (u'of', 'IN'), (u'its', 'PRP$'), (u'roundness', 'NN')]","[(u'the', 'DT'), (u'lines', 'NNS'), (u'on', 'IN'), (u'this', 'DT'), (u'image', 'NN'), (u'are', 'VBP'), (u'sharp', 'JJ'), (u'and', 'CC'), (u'constantly', 'RB'), (u'changing', 'VBG')]","[(u'image', 'NN'), (u'has', 'VBZ'), (u'more', 'RBR'), (u'flowy', 'JJ'), (u'feeling', 'NN'), (u'roundness', 'NN')]","[(u'lines', 'NNS'), (u'image', 'NN'), (u'are', 'VBP'), (u'sharp', 'JJ'), (u'constantly', 'RB'), (u'changing', 'VBG')]","[(u'image', 'NN'), (u'has', 'VBZ'), (u'more', 'RBR'), (u'flowy', 'JJ'), (u'feeling', 'NN'), (u'roundness', 'NN')]","[(u'lines', 'NNS'), (u'image', 'NN'), (u'sharp', 'JJ'), (u'constantly', 'RB'), (u'changing', 'VBG')]",6,6,6,5,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
4,R_1pVu6bx2JrPBRAO,1/15/16 15:50,1/15/16 15:52,1.92,10.116,11.677,3,shape,shape,1.475,4.889,6.344,3,size,size,,27,1,1,,FL_72|FL_97|FL_71|FL_90|FL_73|FL_94|FL_74|FL_91,FL_L4,FL_L81,FL_L62,FL_L89,FL_L69,FL_L92,FL_L70,FL_L95,time1.1Su_1.1.,1.817,1,1Su,1,8.349,11.652,3,smooth,ridden ,surface,shape,1,1_1Su,smooth,ridden ,1,1,[u'smooth'],[u'ridden'],"[(u'smooth', 'NN')]","[(u'ridden', 'NN')]","[(u'smooth', 'NN')]","[(u'ridden', 'NN')]","[(u'smooth', 'NN')]","[(u'ridden', 'NN')]",1,1,1,1,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
5,R_1M0ViAylw7qjeF1,1/15/16 15:50,1/15/16 15:53,7.559,7.559,15.536,1,it has a circle,it has a triangle,2.584,2.584,9.09,1,the line is longer,the line is shorter,,35,1,1,,FL_97|FL_73|FL_91|FL_94|FL_90|FL_72|FL_74|FL_71,FL_L4,FL_L78,FL_L62,FL_L89,FL_L63,FL_L93,FL_L70,FL_L96,time1.1Su_1.1.,1.68,1,1Su,1,1.68,7.016,1,smooth,bumpy,surface,shape,1,1_1Su,smooth,bumpy,1,1,[u'smooth'],[u'bumpy'],"[(u'smooth', 'NN')]","[(u'bumpy', 'NN')]","[(u'smooth', 'NN')]","[(u'bumpy', 'NN')]","[(u'smooth', 'NN')]","[(u'bumpy', 'NN')]",1,1,1,1,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
6,R_9uAA61ginZnhUXv,1/15/16 15:50,1/15/16 15:54,3.055,3.055,23.821,1,is a circle,isa a triangle ,2.357,2.357,10.928,1,is longer,is shorter,,37,2,1,,FL_94|FL_74|FL_73|FL_97|FL_72|FL_91|FL_90|FL_71,FL_L4,FL_L78,FL_L68,FL_L89,FL_L63,FL_L92,FL_L70,FL_L95,time1.1Su_1.1.,5.284,1,1Su,1,5.284,17.923,1,smooth lines,jagged lines,surface,shape,1,1_1Su,smooth lines,jagged lines,2,2,"[u'smooth', u'lines']","[u'jagged', u'lines']","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]","[(u'smooth', 'NN'), (u'lines', 'NNS')]","[(u'jagged', 'VBD'), (u'lines', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
7,R_3MboPI9w4G1BcTx,1/15/16 15:50,1/15/16 15:55,13.185,23.71,29.637,2,Cicular,Triangular,5.459,8.702,12.978,2,Longer,Shorter,1,28,1,1,,FL_91|FL_94|FL_90|FL_72|FL_74|FL_73|FL_71|FL_97,FL_L4,FL_L78,FL_L68,FL_L88,FL_L63,FL_L93,FL_L64,FL_L95,time1.1Su_1.1.,13.161,1,1Su,1,17.715,20.118,3,Sharp,Rough,surface,shape,1,1_1Su,Sharp,Rough,1,1,[u'Sharp'],[u'Rough'],"[(u'Sharp', 'NNP')]","[(u'Rough', 'IN')]","[(u'Sharp', 'NNP')]",[],"[(u'Sharp', 'NNP')]",[],1,0,1,0,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
8,R_3iUVoARY38x5Rn3,1/15/16 15:52,1/15/16 15:56,4.513,4.513,20.16,1,circle in a square,triangle in a square,4.893,4.893,11.934,1,long line,short line,,30,2,1,,FL_90|FL_74|FL_73|FL_72|FL_71|FL_97|FL_94|FL_91,FL_L4,FL_L78,FL_L68,FL_L88,FL_L69,FL_L92,FL_L70,FL_L96,time1.1Su_1.1.,5.184,1,1Su,1,5.184,13.255,1,smooth edges,jagged edges,surface,shape,1,1_1Su,smooth edges,jagged edges,2,2,"[u'smooth', u'edges']","[u'jagged', u'edges']","[(u'smooth', 'NN'), (u'edges', 'NNS')]","[(u'jagged', 'VBD'), (u'edges', 'NNS')]","[(u'smooth', 'NN'), (u'edges', 'NNS')]","[(u'jagged', 'VBD'), (u'edges', 'NNS')]","[(u'smooth', 'NN'), (u'edges', 'NNS')]","[(u'jagged', 'VBD'), (u'edges', 'NNS')]",2,2,2,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
9,R_3G9hgZUwjBYhACv,1/15/16 15:54,1/15/16 15:56,1.534,1.534,7.655,1,circle,triangle,2.105,2.105,9.111,1,longer line,shorter line,1,40,2,1,,FL_97|FL_74|FL_90|FL_73|FL_91|FL_72|FL_94|FL_71,FL_L4,FL_L81,FL_L62,FL_L88,FL_L63,FL_L93,FL_L64,FL_L96,time1.1Su_1.1.,1.588,1,1Su,1,1.588,16.119,1,more smooth,more bumpy,surface,shape,1,1_1Su,more smooth,more bumpy,2,2,"[u'more', u'smooth']","[u'more', u'bumpy']","[(u'more', 'JJR'), (u'smooth', 'IN')]","[(u'more', 'JJR'), (u'bumpy', 'NN')]","[(u'more', 'JJR')]","[(u'more', 'JJR'), (u'bumpy', 'NN')]","[(u'more', 'JJR')]","[(u'more', 'JJR'), (u'bumpy', 'NN')]",1,2,1,2,0.62745098,0.634615385,0.627906977,0.568181818,0.619047619,0.571428571
