"subject"	"condition"	"workerId"	"isRight"	"leftIsRight"	"rightIsRight"	"isPartRight"	"leftIsPartRight"	"rightIsPartRight"	"isNormRight"	"isNormLeftRight"	"isNormRightRight"	"problem"	"leftResp"	"rightResp"	"exampleSortMoves"	"sortMoves"	"sortTime"	"sortAcc"	"testAcc"	"testTime"	"aveUniqueCWordNBPercentCor"	"aveCWordLengthNBCor"	"origAcc"
"p104932"	"active"	"A3K43RI91Y567E"	1	1	1	1	1	1	1	1	1	"pbp16"	"the square was proceeded by a circle"	"the circle was proceeded by a square"	12	14	45904	0.857142857142857	1	28706	0.355523072060683	3.21428571428571	0.478260869565217
"p109296"	"active"	"AZE084MMZVEYT"	0	0	0	0	0	0	0	0	0	"pbp11b"	"seemed more stable and orderly"	"seemed more chaotic"	13	18	40731	0.666666666666667	0.75	19695	0.327441706082483	2.82051282051282	0.380952380952381
"p111472"	"passive"	"A39SAU9HHC6K32"	1	1	1	1	1	1	1	1	1	"pbp28"	"These will roll."	"These will not roll."	12	15	59469	0.8	1	22355	0.55625	3.75	0.521739130434783
"p116140"	"passive"	"A306GWTM2KVPJ0"	1	1	1	1	1	1	1	0	1	"pbp19"	"Object will fall"	"Object will stay on ground"	14	19	63519	0.631578947368421	0.875	38232	0.490123456790123	3.48076923076923	0.15
"p118034"	"active"	"ATYU1AXX2P1MZ"	1	1	1	1	1	1	1	1	1	"pbp11b"	"The objects were either touching each other or very close to each other"	"The objects were relatively far away from each other"	13	14	108702	0.857142857142857	0.875	52050	0.327441706082483	2.82051282051282	0.380952380952381
"p118896"	"passive"	"AZY2R13Q2HGMC"	1	1	1	1	1	1	1	1	1	"pbp04"	"All shapes are squares"	"All shapes are circles"	13	14	39199	0.857142857142857	0.875	32589	0.349397590361446	2.075	0.625
"p12271"	"active"	"A2WGF1A9LXNB8Z"	0	0	0	0	0	0	0	0	0	"pbp13"	"they are all stacked on one thing at the bottom"	"there are 2 things holding up the structure"	12	14	47631	0.857142857142857	1	29245	0.508420208500401	3.46	0.115384615384615
"p131293"	"active"	"A2ODG85J9YRCCJ"	1	1	1	1	1	1	1	1	1	"pbp04"	"all were squares"	"all were circles"	18	15	44298	0.8	0.875	33562	0.349397590361446	2.075	0.625
"p152687"	"active"	"A24ZDE3JA5H8XL"	0	0	1	1	1	1	0	0	0	"pbp24"	"Even"	"Off center"	16	18	147241	0.666666666666667	0.25	75389	0.307647058823529	4.45588235294118	0.173913043478261
"p158982"	"passive"	"A2NI99CLB8OQ1X"	0	0	0	0	0	0	0	0	0	"pbp24"	"I saw some of the shapes were stacked"	"I saw more floating shapes"	14	14	33805	0.857142857142857	0.75	24830	0.307647058823529	4.45588235294118	0.173913043478261
"p163824"	"passive"	"A1OU4MUPGTBNO0"	1	1	1	1	1	1	1	1	1	"pbp02"	"One object"	"Two objects"	13	17	58818	0.705882352941177	1	27053	0.322265491562479	2.6304347826087	0.875
